FID	No	Source	Id	river	station	country	x	y	area	altitude	d_start	d_end	orig_lat	orig_lon	areaold	area_1	lat	lon
207	836	HR	4031	Kupa	Ladesic Draga	HR	0	0	1445	147.84	2009	2021	45.479444	15.367278	1405	0	45.475	15.375
208	839	HR	4107	Kupa	Jamnicka Kiselica	HR	0	0	6895	100.79	1991	2021	45.548611	15.8575	6323	0	45.54167	15.85833
209	840	HR	4065	Kupa	Sisinec	HR	0	0	7364	94.81	2009	2021	45.4485	16.077194	6825	0	45.44167	16.075
210	841	HR	4010	Kupa	Farkasic	HR	0	0	8992	93.82	2000	2021	45.483278	16.152694	8420	0	45.475	16.15833
211	842	HR	3217	Una	Kostajnica	HR	0	0	8876	103.2	2009	2021	45.222389	16.548722	7693	0	45.225	16.54167
212	845	HR	3121	Sava	Zagreb	HR	0	0	12450	112.26	1991	2021	45.7845	15.953306	11573	0	45.79167	15.95833
213	850	HR	3219	Sava	Jasenovac	HR	0	0	38953	86.82	1991	2021	45.266806	16.907472	28719	0	45.275	16.90833
214	851	HR	3104	Sava	Stara Gradiska	HR	0	0	40262	85.47	2009	2021	45.15025	17.249944	37895	0	45.14167	17.24167
215	852	HR	3179	Sava	Davor C.S.	HR	0	0	47179	82.59	1991	2021	45.128028	17.539556	44236	0	45.125	17.54167
216	853	HR	3177	Sava	Slavonski Kobas	HR	0	0	48744	82.69	2009	2021	45.098861	17.737833	45840	0	45.09167	17.74167
217	854	HR	3098	Sava	Slavonski Brod	HR	0	0	50858	81.8	1991	2021	45.152944	18.004778	47764	0	45.15833	18.00833
218	856	HR	3211	Sava	Zupanja Stepenica	HR	0	0	62891	76.28	1991	2021	45.073472	18.686667	59242	0	45.075	18.69167
219	857	HR	5115	Drava	Donja Dubrava	HR	0	0	16770	129.7	2009	2021	46.309028	16.816639	16701	0	46.30833	16.80833
220	858	HR	5008	Drava	Botovo	HR	0	0	31038	121.55	1991	2021	46.242361	16.939111	31122	0	46.24167	16.94167
221	859	HR	5098	Drava	Novo Virje Skela	HR	0	0	31803	108.86	2009	2021	46.110167	17.15275	31892	0	46.10833	17.15833
222	860	HR	5063	Drava	Terezino Polje	HR	0	0	33916	100.67	1991	2021	45.944528	17.461778	34238	0	45.94167	17.45833
223	864	HR	5005	Drava	Belisce	HR	0	0	38500	83.99	2009	2021	45.688472	18.4185	38134	0	45.69167	18.425
224	868	HR	5130	Danube	Dalj	HR	0	0	252208	75.2	2009	2021	45.491028	18.995028	252870	0	45.49167	18.99167
225	869	HR	5070	Danube	Vukovar	HR	0	0	253147	76.19	2009	2021	45.355417	19.002056	254103	0	45.35833	19.00833
226	870	HR	5024	Danube	Ilok	HR	0	0	253737	73.97	2009	2021	45.230444	19.37825	254717	0	45.225	19.375
227	886	DE	10078000	Danube	Pfelling	DE	0	0	37757	30816	2013	2021	48.8798	12.7472	37757	0	48.875	12.74167
228	892	DE	11405000	Iller	Wiblingen	DE	0	0	2040	46824	1991	2021	48.3708	9.9874	2173	0	48.375	9.99167
229	895	DE	12006000	Lech	Augsburg u. d. Wertachmvºndung	DE	0	0	3803	45678	1990	2021	48.4081	10.888	4003	0	48.40833	10.89167
230	900	DE	14008006	Naab	Heitzenhofen	DE	0	0	5432	33364	1991	2021	49.1183	11.9363	5418	0	49.125	11.94167
231	903	DE	15207507	Regen	Marienthal	DE	0	0	2590	33700	2013	2021	49.223	12.1756	2605	0	49.225	12.175
232	904	DE	16005701	Isar	Mvºnchen	DE	0	0	2814	50036	2013	2021	48.1455	11.5969	2878	0	48.14167	11.59167
233	906	DE	16007004	Isar	Landshut Birket	DE	0	0	7915	38865	2013	2021	48.5275	12.1332	7971	0	48.525	12.125
234	1014	RS	47290	Ibar	Usce	RS	0	0	6883	329.89	2014	2021	43.465178	20.621409	6805	0	43.45833	20.625
235	1021	AT	5002427	Salzach	Salzburg-Nonntal	AT	0	0	4394	413.07	2013	2021	47.798051	13.053879	4418	0	47.79167	13.05833
236	1308	SI	2005	Drava	Crnece	SI	0	0	12060	46.59	2011	2021	46.586993	15.018159	12080	0	46.59167	15.00833
237	1311	UA	44006	Tisza	Rahiv	UA	0	0	1070	429.73	2000	2021	48.061111	24.212222	1069	0	48.05833	24.20833
238	1321	UA	44090	Latorica	Mukacheve	UA	0	0	1360	115.6	2000	2021	48.443611	22.718056	1352	0	48.44167	22.725
239	1322	UA	44093	Latorica	Chop	UA	0	0	2870	96.58	2000	2021	48.455	22.213611	3565	0	48.45833	22.20833
240	1324	UA	44113	Uzh	Zaricheve	UA	0	0	1280	154.56	2000	2021	48.771111	22.501389	1283	0	48.775	22.49167
241	1327	UA	42148	Prut	Chernivtsi	UA	0	0	6890	155.89	1991	2021	48.311111	25.920556	6906	0	48.30833	25.925
242	1328	UA	42187	Cheremosh	Usteriky	UA	0	0	1500	474.09	2000	2021	48.116389	25.011944	1512	0	48.10833	25.00833
243	1696	HR	5044	Mur	Mursko Sredisce	HR	0	0	10891	156.29	2014	2021	46.514667	16.443556	10896	0	46.50833	16.44167
244	1697	HR	5035	Mur	Gorican	HR	0	0	13148	138.59	2014	2021	46.419556	16.693	13037	0	46.40833	16.70833
245	1698	SI	4860	Kolpa	Metlika	SI	0	0	1966	126.96	2005	2021	45.63482	15.32294	1962	0	45.64167	15.325
246	1708	UA	42804	Danube	Izmayil	UA	0	0	813000	-0.18	2016	2021	45.327926	28.832233	790372	0	45.325	28.825
247	1734	BA	Sanski Most	Sana	Sanski Most	BA	0	0	2008	156.04	2006	2021	44.766389	16.666111	1420	0	44.75833	16.675
248	1736	BA	Kozluk	Vrbas	Kozluk	BA	0	0	3161	342.51	2006	2021	44.34	17.273611	2083	0	44.34167	17.275
249	1740	BA	Merdani	Lasva	Merdani	BA	0	0	950	357.59	2006	2021	44.134722	17.9125	965	0	44.14167	17.90833
250	1976	DE	6342200	Iller	KEMPTEN	DE	0	0	955	-	1990	2009	47.73	10.31	947	0	47.725	10.325
251	2026	SK	6142551	Kysuca	KYSUCKE NOVE MESTO	SK	0	0	1037	-	1990	2002	49.29	18.78	967	0	49.29167	18.775
252	2027	SK	6144300	Hornad	ZDANA	SK	0	0	4390	-	1990	2002	48.6	21.34	4248	0	48.60833	21.34167
253	2028	HU	6442100	Zala	ZALAAPATI	HU	0	0	1597	-	1990	1996	46.73	17.11	1530	0	46.725	17.125
254	2029	BG	6842400	Danube	LOM	BG	0	0	585869	-	1992	2000	43.84	23.24	579998	0	43.84167	23.24167
255	2030	UA	6942200	Siret	STOROZHYNETS	UA	0	0	842	-	1990	1996	48.16	25.71	676	0	48.15833	25.70833
256	2031	RO	42430	Tarnava Mare	Tarnava Mare - BLAJ	RO	0	0	3775	-	1990	2001	46.170901	23.920442	3693	0	46.175	23.925
257	2032	RO	44010	Strei	Strei - PETRENI	RO	0	0	1750	-	1990	2001	45.8	23.033333	1966	0	45.80833	23.025
258	2034	RO	44524	Crisul Repede	ORADEA	RO	0	0	6003	-	1991	2003	47.05	21.933333	2174	0	47.05833	21.925
259	2036	BA	A1208	Dunav	Bajina Ba˜°ta	BA	0	0	14000	-	1991	2003	43.98	19.55	14897	0	43.975	19.54167
260	2141	AT	6242420	KREMS	IMBACH	AT	0	0	306	-	1990	2010	48.44	15.56	309	0	48.44167	15.55833
261	2209	HU	6442450	DANUBE RIVER	DUNAALMAS	HU	0	0	171720	-	1990	1996	47.73	18.33	171742	0	47.74167	18.325
262	2532	RO	6842200	DANUBE RIVER	NOVO SELO	RO	0	0	584900	-	1992	2000	44.16	22.82	575537	0	44.15833	22.825
263	2534	RO	6842800	DANUBE RIVER	RUSE	RO	0	0	669900	-	1992	2000	43.86	25.95	659920	0	43.85833	25.94167
264	2535	RO	6842900	DANUBE RIVER	SILISTRA	RO	0	0	689700	-	1992	2000	44.13	27.26	680795	0	44.125	27.25833
265	2726	BG	17850	Skat	Miziya	BG	0	0	4523	-	1991	2004	43.685	23.8612	1064	0	43.69167	23.85833
266	2732	BG	22750	Osum	Lovech 	BG	0	0	5498	-	1991	2004	43.141667	24.722222	925	0	43.14167	24.725
267	2744	BG	42017	Donau	BECHET	BG	0	0	599244	-	1991	2003	43.75	23.95	599244	0	43.74167	23.95833
268	2745	BG	42024	Donau	TURNU MAGURELE	BG	0	0	639731	-	1991	2003	43.7	24.883333	639731	0	43.70833	24.89167
269	2746	RO	42031	Dadilovat	OLTENITA	RO	0	0	676229	-	1991	2003	44.066667	26.66667	676229	0	44.05833	26.625
270	2747	RO	42051	Donau	BRAILA	RO	0	0	708285	-	1991	2003	45.283333	27.983333	708285	0	45.275	27.99167
271	2748	UA	42055	Donau	ISACCEA	UA	0	0	805700	-	1991	2003	45.283333	28.483333	785381	0	45.275	28.475
272	2818	sk	Hron	Hron	Hron	sk	0	0	5325	-	1991	2002	47.859835	18.657613	5421	0	47.84167	18.675
273	2966	BA	Prijedor	Sana	Prijedor	BA	0	0	3191	-	2000	2011	44.97385	16.703856	2579	0	44.975	16.70833
274	2969	HR	Brodarci	Kupa	Brodarci	HR	0	0	3405	-	2000	2011	45.544444	15.533889	2507	0	45.54167	15.54167
275	2970	HR	Pleternica	Orljava	Pleternica	HR	0	0	745	-	2006	2011	45.361186	17.752702	732	0	45.325	17.775
276	2971	SI	Litija I	Sava	Litija I	SI	0	0	4821	-	2000	2011	46.055556	14.823056	4182	0	46.05833	14.825
277	2974	SI	Nazarje	Savinja	Nazarje	SI	0	0	457	-	2000	2011	46.3212	14.9524	466	0	46.325	14.95833
278	2975	BA	Daljan	Vrbas	Daljan	BA	0	0	1034	-	2006	2011	44.158531	17.39651	1042	0	44.14167	17.39167
279	2976	BA	Olovo	Krivaja	Olovo	BA	0	0	737	-	2006	2011	44.12575	18.57989	697	0	44.125	18.575
280	2977	RS	Cedovo	Vapa	Cedovo	RS	0	0	501	-	2000	2011	43.303417	20.064127	540	0	43.29167	20.05833
281	2978	RS	Lesnica	Jadar	Lesnica	RS	0	0	959	-	1990	2015	44.633056	19.279444	968	0	44.625	19.275
282	2979	RS	Valjevo	Kolubara	Valjevo	RS	0	0	340	-	2000	2011	44.268889	19.892222	340	0	44.25833	19.875
283	2980	RS	Slovac	Kolubara	Slovac	RS	0	0	995	-	2000	2011	44.338333	20.085	999	0	44.34167	20.075
284	2981	RS	Cemanov most	Tamnava	Cemanov most	RS	0	0	385	-	2000	2011	44.480881	20.024614	314	0	44.475	20.025
285	3021	RS	45836_Brodarevo	Lim	45836_Brodarevo_Lim	RS	0	0	2762	-	1990	2011	43.233145	19.720081	2660	0	43.225	19.725
286	3022	RS	45842_Priboj_Li	Lim	45842_Priboj_Lim	RS	0	0	3684	-	1990	2015	43.581616	19.523649	3521	0	43.575	19.525
287	3023	RS	45838_Prijepolj	Milesevka	45838_Prijepolje_Milesevka	RS	0	0	155	-	1990	2015	43.381675	19.636986	150	0	43.39167	19.65833
288	3024	RS	45890_Zavlaka_J	Jadar	45890_Zavlaka_Jadar	RS	0	0	313	-	1991	2015	44.449612	19.49097	298	0	44.44167	19.50833
289	4192	SI	2250	Meza	Oti˜°ki Vrh I	SI	0	0	553	334	2017	2021	46.57775	15.02594	550	0	46.575	15.025
290	4194	SI	2390	Mislinja	Oti˜°ki Vrh I	SI	0	0	232	344.75	2017	2021	46.56751	15.03725	235	0	46.575	15.04167
291	4198	SI	2640	Dravinja	Makole	SI	0	0	303	240.22	2017	2021	46.31928	15.67041	323	0	46.325	15.675
292	4199	SI	2652	Dravinja	Videm	SI	0	0	767	209.04	2017	2021	46.36835	15.90297	870	0	46.375	15.90833
293	4202	SI	2754	Polskava	Tr˜æec	SI	0	0	189	214.07	2017	2021	46.36367	15.87807	268	0	46.375	15.85833
294	4205	SI	2900	Pesnica	Zamu˜°ani I	SI	0	0	480	201.85	2017	2021	46.41413	16.03396	533	0	46.40833	16.04167
295	4216	SI	4200	Sora	Suha I	SI	0	0	569	329.47	2017	2021	46.16203	14.32602	592	0	46.15833	14.325
296	4218	SI	4230	Poljanska Sora	Zminec	SI	0	0	307	343.33	2017	2021	46.15302	14.29013	322	0	46.15833	14.29167
297	4224	SI	4515	Raca	Vir	SI	0	0	161	299.04	2017	2021	46.14401	14.61682	162	0	46.14167	14.625
298	4229	SI	4695	Mirna	Jelovec	SI	0	0	271	208.49	2017	2021	45.98862	15.23025	392	0	45.99167	15.225
299	4232	SI	4750	Sutla	Rakovec	SI	0	0	561	140.12	2017	2021	45.92091	15.70428	554	0	45.925	15.70833
300	4235	SI	4820	Kupa	Petrina	SI	0	0	467	219.31	2017	2021	45.46389	14.85176	413	0	45.45833	14.84167
301	4236	SI	4828	Kupa	Sodevci	SI	0	0	1136	180.84	2017	2021	45.48469	15.07558	1127	0	45.49167	15.075
302	4241	SI	5479	Gradascica	Bokalce	SI	0	0	155	296.63	2017	2021	46.04521	14.44644	155	0	46.04167	14.44167
303	4248	SI	6140	Savinja	Celje II - brv	SI	0	0	1192	230.31	2017	2021	46.22807	15.26002	1201	0	46.225	15.25833
304	4252	SI	6550	Bolska	Dolenja vas II	SI	0	0	170	267.87	2017	2021	46.23922	15.09288	174	0	46.24167	15.09167
305	4254	SI	6720	Voglajna	Celje II	SI	0	0	203	234.23	2017	2021	46.23203	15.28322	205	0	46.225	15.29167
306	4255	SI	6790	Hudinja	˜†kofja vas	SI	0	0	156	242.23	2017	2021	46.26469	15.2867	159	0	46.25833	15.29167
307	4257	SI	7060	Krka	Soteska	SI	0	0	950	167.59	2017	2021	45.77941	15.0192	929	0	45.775	15.025
308	4258	SI	7110	Krka	Gorenja Gomila	SI	0	0	1874	148.67	2017	2021	45.86751	15.28555	1415	0	45.875	15.29167
309	5214	BA	45628	Vrbas	Banja Luka	BA	0	0	4588	151.21	2016	2021	44.76468	17.18852	3484	0	44.75833	17.19167
310	5216	BA	45745	Bosna	Doboj	BA	0	0	4588	137.01	2016	2021	44.74447222	18.095683	9655	0	44.75833	18.09167
311	5217	BA	45616	Pliva	Majevac	BA	0	0	156	461.53	2015	2021	44.238878	17.024121	156	0	44.24167	17.025
312	5218	BA	45620	Pliva	Volari	BA	0	0	1665	435.1	2015	2021	44.29215278	17.11525	577	0	44.29167	17.10833
313	5219	BA	45640	Vrbanja	Vrbanja	BA	0	0	778	166.22	2016	2021	44.74743529	17.272768	782	0	44.74167	17.25833
314	5220	BA	45521	Una	Novi Grad nizvodno	BA	0	0	8507	116.06	2003	2021	45.05355904	16.384199	7020	0	45.05833	16.39167
