FID	No	Source	Id	river	station	country	x	y	area	altitude	d_start	d_end	orig_lat	orig_lon	areaold	area_1	lat	lon	newlat	newlon	newarea	lat_1min	lon_1min	area_1min	differentfromEFAS
127	579	CZ	462000	Soeatka	Zidlochooece	CZ	0	0	3940	177.89	1991	2021	49.035525	16.616741	3958	0	49.04167	16.60833	49.0346	16.6171	3921	49.0417	16.6083	3958	0
128	580	CZ	478000	Jihlaoe	Ioencice	CZ	0	0	2682	194.01	1991	2021	49.083013	16.411488	2678	0	49.075	16.40833	49.0829	16.4112	2672	49.075	16.4083	2678	0
129	581	CZ	480500	Thaya	BreclaoeLadna	CZ	0	0	12280	157.38	1991	2021	48.79945	16.858672	12365	0	48.79167	16.85833	48.7979	16.8588	12281	48.7917	16.8583	12365	0
130	582	BG	16850	Ogosta	Miziya	BG	0	0	3112	26.32	1991	2021	43.6919	23.8258	3180	0	43.69167	23.825	43.6921	23.8262	3139	43.6917	23.825	3180	0
131	583	BG	18700	Iskar	Nooe_Iskar	BG	0	0	3662	502.63	2015	2021	42.8292	23.3598	3525	0	42.825	23.35833	42.8296	23.3596	3552	42.8417	23.3583	3555	1
132	584	BG	18850	Iskar	Orehooeca	BG	0	0	8366	31.2	1991	2021	43.5878	24.3589	8324	0	43.59167	24.35833	43.5879	24.3588	8355	43.5917	24.3583	8324	0
133	585	BG	21800	oet	Tarnene	BG	0	0	2236	58.24	1991	2021	43.4056	24.5192	2364	0	43.39167	24.50833	43.4062	24.5196	2202	43.3917	24.5083	2364	0
134	586	BG	22700	Osam	Troian	BG	0	0	458	353.1	1991	2021	42.9172	24.7097	482	0	42.925	24.70833	42.9171	24.7096	464	42.9083	24.7083	477	1
135	587	BG	22800	Osam	Izgrev	BG	0	0	2154	40.32	1991	2021	43.4555	25.0528	2185	0	43.45833	25.05833	43.4554	25.0529	2170	43.4583	25.0583	2185	0
136	588	BG	23500	Rositsa	Seoeieoe	BG	0	0	958	196.24	1991	2021	42.9958	25.1086	998	0	42.99167	25.10833	42.9954	25.1079	1002	42.9917	25.1083	998	0
