ID,area,lat,lon
851,40262,45.15025,17.249944
852,47179,45.128028,17.539556
853,48744,45.098861,17.737833
854,50858,45.152944,18.004778
856,62891,45.073472,18.686667
857,16770,46.309028,16.816639
858,31038,46.242361,16.939111
859,31803,46.110167,17.15275
860,33916,45.944528,17.461778
864,38500,45.688472,18.4185
868,252208,45.491028,18.995028
869,253147,45.355417,19.002056
870,253737,45.230444,19.37825
886,37757,48.8798,12.7472
892,2040,48.3708,9.9874
895,3803,48.4081,10.888
900,5432,49.1183,11.9363
903,2590,49.223,12.1756
904,2814,48.1455,11.5969
906,7915,48.5275,12.1332
1014,6883,43.465178,20.621409
1021,4394,47.798051,13.053879
1308,12060,46.586993,15.018159
1311,1070,48.061111,24.212222
1321,1360,48.443611,22.718056
1322,2870,48.455,22.213611
1324,1280,48.771111,22.501389
1327,6890,48.311111,25.920556
1328,1500,48.116389,25.011944
1696,10891,46.514667,16.443556
1697,13148,46.419556,16.693
1698,1966,45.63482,15.32294
1708,813000,45.327926,28.832233
1734,2008,44.766389,16.666111
1736,3161,44.34,17.273611
1740,950,44.134722,17.9125
1976,955,47.73,10.31
2026,1037,49.29,18.78
2027,4390,48.6,21.34
2028,1597,46.73,17.11
2029,585869,43.84,23.24
2030,842,48.16,25.71
2031,3775,46.170901,23.920442
2032,1750,45.8,23.033333
2034,6003,47.05,21.933333
2036,14000,43.98,19.55
2141,306,48.44,15.56
2209,171720,47.73,18.33
2532,584900,44.16,22.82
2534,669900,43.86,25.95
2535,689700,44.13,27.26
2726,4523,43.685,23.8612
2732,5498,43.141667,24.722222
2744,599244,43.75,23.95
2745,639731,43.7,24.883333
2746,676229,44.066667,26.66667
2747,708285,45.283333,27.983333
2748,805700,45.283333,28.483333
2818,5325,47.859835,18.657613
2966,3191,44.97385,16.703856
2969,3405,45.544444,15.533889
2970,745,45.361186,17.752702
2971,4821,46.055556,14.823056
2974,457,46.3212,14.9524
2975,1034,44.158531,17.39651
2976,737,44.12575,18.57989
2977,501,43.303417,20.064127
2978,959,44.633056,19.279444
2979,340,44.268889,19.892222
2980,995,44.338333,20.085
2981,385,44.480881,20.024614
3021,2762,43.233145,19.720081
3022,3684,43.581616,19.523649
3023,155,43.381675,19.636986
3024,313,44.449612,19.49097
4192,553,46.57775,15.02594
4194,232,46.56751,15.03725
4198,303,46.31928,15.67041
4199,767,46.36835,15.90297
4202,189,46.36367,15.87807
4205,480,46.41413,16.03396
4216,569,46.16203,14.32602
4218,307,46.15302,14.29013
4224,161,46.14401,14.61682
4229,271,45.98862,15.23025
4232,561,45.92091,15.70428
4235,467,45.46389,14.85176
4236,1136,45.48469,15.07558
4241,155,46.04521,14.44644
4248,1192,46.22807,15.26002
4252,170,46.23922,15.09288
4254,203,46.23203,15.28322
4255,156,46.26469,15.2867
4257,950,45.77941,15.0192
4258,1874,45.86751,15.28555
5214,4588,44.76468,17.18852
5216,4588,44.74447222,18.095683
5217,156,44.238878,17.024121
5218,1665,44.29215278,17.11525
5219,778,44.74743529,17.272768
5220,8507,45.05355904,16.384199
