FID	GloFAS ID	Provider ID	Country	StationLat	StationLon	DrainingArea.km2.Provider	River	Basin	DrainingArea.km2.LDD	LisfloodX	LisfloodY	CAL START DATE	CAL END DATE	CAL SPLIT DATE	NumObs	KGE3arcmin_LR	bias3arcmin_LR	corr3arcmin_LR	var3arcmin_LR	newlat	newlon	newarea	lat_3min	lon_3min	area_3min	differentfromGLOFAS
16	475	6343100	DEU	48.059	12.233	11983	Inn	Danube	11895	12.225	48.075	 01/01/1982 00:00	 01/01/2013 00:00	 03/07/1997 00:00	11324	0.86	1.06	0.89	1.06	48.05958	12.23292	11920	48.07500	12.22500	    11895	0
17	484	6444310	HUN	47.883	21.067	62723	Tisza	Danube	62690	21.075	47.875	 02/01/1988 00:00	 01/01/1996 00:00	 02/01/1988 00:00	2557	0.87	1.00	0.87	1.00	47.88125	21.06542	62310	47.87500	21.07500	    62690	0
18	488	6744500	ROU	47.787	22.877	15385	Szamos	Danube	15286	22.875	47.775	 01/01/1982 00:00	 01/01/2009 00:00	 08/07/1995 00:00	9849	0.78	1.11	0.82	0.93	47.78708	22.87625	15101	47.77500	22.87500	    15286	0
19	489	6442500	HUN	47.780	18.950	183533	Danube	Danube	183126	18.925	47.775	 01/01/1982 00:00	 01/01/2000 00:00	 03/07/1991 00:00	6209	0.86	1.05	0.90	1.09	47.77625	18.95542	182832	47.77500	18.97500	   183167	1
20	491	6442450	HUN	47.730	18.330	171720	Danube	Danube	171392	18.325	47.725	 01/01/1982 00:00	 01/01/1996 00:00	 02/01/1988 00:00	5114	0.87	1.05	0.90	1.08	47.73625	18.32958	171048	47.72500	18.32500	   171392	0
21	517	6444200	HUN	47.183	20.200	75113	Tisza	Danube	74073	20.175	47.125	 02/01/1988 00:00	 01/01/1996 00:00	 02/01/1988 00:00	2557	0.85	1.04	0.86	1.05	47.17208	20.20208	72672	47.17500	20.22500	    73125	1
22	529	6742701	ROU	46.726	26.946	11899	Siret	Danube	11796	26.925	46.725	 01/01/1982 00:00	 01/01/2009 00:00	 08/07/1995 00:00	9849	0.76	1.10	0.80	0.93	46.72542	26.94625	11986	46.72500	26.92500	    11796	0
23	550	6444100	HUN	46.250	20.167	138408	Tisza	Danube	139009	20.175	46.275	 01/01/1982 00:00	 01/01/2000 00:00	 01/01/1991 00:00	6575	0.79	1.10	0.82	0.97	46.25625	20.16708	138469	46.27500	20.17500	   139009	0
24	551	6444110	HUN	46.217	20.483	30149	Maros	Danube	29869	20.475	46.225	 01/01/1982 00:00	 01/01/1996 00:00	 02/01/1988 00:00	5114	0.64	1.29	0.79	0.98	46.19542	20.47875	29878	46.17500	20.52500	    29804	1
25	553	6744200	ROU	46.161	21.322	27280	Maros	Danube	27384	21.325	46.175	 01/01/1982 00:00	 01/01/2009 00:00	 08/07/1995 00:00	9849	0.79	1.12	0.85	0.94	46.16042	21.32208	27175	46.12500	21.37500	    27276	1
26	559	6744201	ROU	46.038	23.582	18055	Maros	Danube	19417	23.575	46.025	 01/01/1982 00:00	 01/01/2009 00:00	 08/07/1995 00:00	9849	0.77	1.14	0.82	0.96	46.03792	23.58208	17961	46.07500	23.62500	    17562	1
27	560	6442600	HUN	46.000	18.670	209064	Danube	Danube	208922	18.675	46.025	 01/01/1982 00:00	 01/01/2000 00:00	 01/01/1991 00:00	6575	0.83	1.09	0.88	1.07	46.00958	18.68292	208380	46.02500	18.72500	   208750	1
28	562	6544100	SRB	45.933	20.083	140130	Tisza	Danube	141736	20.075	45.975	 01/01/1982 00:00	 01/01/2011 00:00	 02/07/1996 00:00	10593	0.77	1.11	0.80	0.98	45.93625	20.09208	140234	45.97500	20.07500	   141736	0
29	564	6545050	SVN	45.893	15.610	10186	Sava	Danube	9068	15.625	45.875	 01/01/1982 00:00	 01/01/2013 00:00	 03/07/1997 00:00	11324	0.75	0.82	0.83	0.99	45.89375	15.60958	9929	45.87500	15.62500	     9068	0
30	566	6542100	SRB	45.850	18.870	210245	Danube	Danube	210775	18.875	45.825	 02/01/1992 00:00	 01/01/2011 00:00	 03/07/2001 00:00	6940	0.82	1.14	0.89	0.98	45.85042	18.85708	213013	45.82500	18.87500	   210775	0
31	578	6742700	ROU	45.556	27.512	36030	Siret	Danube	36463	27.525	45.575	 01/01/1982 00:00	 01/01/2011 00:00	 07/07/1996 00:00	10579	0.75	1.09	0.77	0.95	45.55792	27.51208	36211	45.57500	27.52500	    36463	0
32	579	6542200	SRB	45.530	19.080	251593	Danube	Danube	252058	19.075	45.525	 01/01/1982 00:00	 01/01/2010 00:00	 01/01/1995 00:00	9497	0.83	1.07	0.85	1.02	45.52792	19.07792	253996	45.52500	19.07500	   252058	0
33	585	6742451	ROU	45.385	24.299	13733	Olt	Danube	13823	24.275	45.375	 01/01/1982 00:00	 01/01/2011 00:00	 07/07/1996 00:00	10579	0.78	1.12	0.82	0.95	45.38542	24.29875	13844	45.37500	24.32500	    13736	1
34	591	6742900	ROU	45.217	28.717	807000	Danube	Danube	785728	28.725	45.225	 01/01/1982 00:00	 01/01/2011 00:00	 04/07/1995 00:00	9856	0.84	1.04	0.85	1.03	45.22375	28.71708	790514	45.22500	28.62500	   785400	1
35	599	6545800	SRB	44.981	19.618	87966	Sava	Danube	85052	19.625	44.975	 02/01/1992 00:00	 01/01/2011 00:00	 11/07/2001 00:00	6923	0.77	0.86	0.82	0.98	44.96875	19.60042	91749	44.97500	19.52500	    84723	1
36	608	6742201	ROU	44.815	21.379	570896	Danube	Danube	562078	21.375	44.825	 02/01/1991 00:00	 01/01/2009 00:00	 05/01/2000 00:00	6569	0.84	1.02	0.85	1.06	44.81375	21.37958	567948	44.82500	21.37500	   562078	0
37	612	6742200	SRB	44.700	22.420	576232	Danube	Danube	567474	22.425	44.725	 01/01/1982 00:00	 01/01/1991 00:00	 02/01/1983 00:00	3288	0.85	1.05	0.86	1.04	44.70375	22.41708	571933	44.67500	22.37500	   566094	1
38	615	6742800	ROU	44.683	27.945	709100	Danube	Danube	688044	27.925	44.625	 01/01/1982 00:00	 01/01/2000 00:00	 25/12/1990 00:00	10593	0.82	1.04	0.83	1.04	44.75400	27.87600	709861	44.72500	27.87500	   703983	1
39	617	6547500	SRB	44.580	21.120	34345	Velika Morava	Danube	37457	21.125	44.575	 02/01/1992 00:00	 01/01/2011 00:00	 03/07/2001 00:00	6940	0.81	0.90	0.87	1.09	44.58542	21.12042	37148	44.57500	21.12500	    37457	0
40	626	6842200	ROU	44.160	22.820	584900	Danube	Danube	575195	22.825	44.125	 02/01/1992 00:00	 01/01/2000 00:00	 02/01/1992 00:00	2922	0.80	0.99	0.83	1.10	44.15375	22.81958	581127	44.17500	22.82500	   575173	1
41	627	6842900	ROU	44.130	27.260	689700	Danube	Danube	680261	27.275	44.125	 02/01/1992 00:00	 01/01/2000 00:00	 02/01/1992 00:00	2922	0.80	1.02	0.82	1.08	44.12458	27.26125	686677	44.12500	27.27500	   680261	0
42	632	6842800	ROU	43.860	25.950	669900	Danube	Danube	659921	25.975	43.875	 02/01/1992 00:00	 01/01/2000 00:00	 02/01/1992 00:00	2922	0.82	1.02	0.84	1.07	43.85875	25.95208	665381	43.82500	25.92500	   659697	1
43	633	6842400	ROU	43.840	23.240	588860	Danube	Danube	580261	23.275	43.825	 02/01/1992 00:00	 01/01/2000 00:00	 02/01/1992 00:00	2922	0.81	1.00	0.84	1.09	43.83875	23.23958	584380	43.82500	23.22500	   578805	1
44	639	6742500	ROU	43.627	25.354	658400	Danube	Danube	641845	25.325	43.625	 01/01/1982 00:00	 01/01/2011 00:00	 02/07/1996 00:00	10585	0.87	1.02	0.88	1.04	43.62625	25.35458	647711	43.62500	25.37500	   641867	1
