FID	GloFAS ID	Provider ID	Country	StationLat	StationLon	DrainingArea.km2.Provider	River	Basin	DrainingArea.km2.LDD	LisfloodX	LisfloodY	CAL START DATE	CAL END DATE	CAL SPLIT DATE	NumObs	KGE3arcmin_LR	bias3arcmin_LR	corr3arcmin_LR	var3arcmin_LR	newlat	newlon	newarea
23	550	6444100	HUN	46.25	20.1667	138408	Tisza	Danube	139008.8	20.175	46.275	 01/01/1982 00:00	 01/01/2000 00:00	 01/01/1991 00:00	6575	0.791369413	1.096889534	0.817757291	0.969557682	46.256250	20.167083	138469
24	551	6444110	HUN	46.2167	20.4833	30149	Maros	Danube	29868.7	20.475	46.225	 01/01/1982 00:00	 01/01/1996 00:00	 02/01/1988 00:00	5114	0.642604745	1.291019792	0.793952654	0.975847558	46.195417	20.478750	29878
25	553	6744200	ROU	46.1608	21.3217	27280	Maros	Danube	27383.6	21.325	46.175	 01/01/1982 00:00	 01/01/2009 00:00	 08/07/1995 00:00	9849	0.794040138	1.121802544	0.845739028	0.938460114	46.160417	21.322083	27175
26	559	6744201	ROU	46.0375	23.5817	18055	Maros	Danube	19416.6	23.575	46.025	 01/01/1982 00:00	 01/01/2009 00:00	 08/07/1995 00:00	9849	0.768219302	1.138683517	0.819046144	0.958228287	46.037917	23.582083	17961
27	560	6442600	HUN	46	18.67	209064	Danube	Danube	208922.2	18.675	46.025	 01/01/1982 00:00	 01/01/2000 00:00	 01/01/1991 00:00	6575	0.833696808	1.089216783	0.879608294	1.072131507	46.009583	18.682917	208380
28	562	6544100	SRB	45.9329	20.0825	140130	Tisza	Danube	141735.8	20.075	45.975	 01/01/1982 00:00	 01/01/2011 00:00	 02/07/1996 00:00	10593	0.768342611	1.112813277	0.798458178	0.982133705	45.936250	20.092083	140234
29	564	6545050	SVN	45.8932	15.6097	10186	Sava	Danube	9067.8	15.625	45.875	 01/01/1982 00:00	 01/01/2013 00:00	 03/07/1997 00:00	11324	0.754479832	0.822410386	0.831014185	0.986366351	45.893750	15.609583	9929
30	566	6542100	SRB	45.85	18.87	210245	Danube	Danube	210774.5	18.875	45.825	 02/01/1992 00:00	 01/01/2011 00:00	 03/07/2001 00:00	6940	0.817399019	1.141225274	0.885580514	0.982486535	45.850417	18.857083	213013
31	578	6742700	ROU	45.5559	27.5122	36030	Siret	Danube	36463.4	27.525	45.575	 01/01/1982 00:00	 01/01/2011 00:00	 07/07/1996 00:00	10579	0.749207057	1.093231205	0.773373348	0.94665768	45.557917	27.512083	36211
32	579	6542200	SRB	45.53	19.08	251593	Danube	Danube	252057.8	19.075	45.525	 01/01/1982 00:00	 01/01/2010 00:00	 01/01/1995 00:00	9497	0.831866648	1.074236225	0.849952688	1.015608053	45.527917	19.077917	253996
33	585	6742451	ROU	45.385	24.2994	13733	Olt	Danube	13823	24.275	45.375	 01/01/1982 00:00	 01/01/2011 00:00	 07/07/1996 00:00	10579	0.7760288	1.115808197	0.815173109	0.949102254	45.385417	24.298750	13844
34	591	6742900	ROU	45.2167	28.7167	807000	Danube	Danube	785727.7	28.725	45.225	 01/01/1982 00:00	 01/01/2011 00:00	 04/07/1995 00:00	9856	0.843835881	1.03650787	0.850455926	1.026286454	45.223750	28.717083	790514
35	599	6545800	SRB	44.9813	19.6183	87966	Sava	Danube	85051.7	19.625	44.975	 02/01/1992 00:00	 01/01/2011 00:00	 11/07/2001 00:00	6923	0.770651385	0.861183774	0.818491756	0.980363302	44.968750	19.600417	91749
36	608	6742201	ROU	44.8147	21.3794	570896	Danube	Danube	562077.6	21.375	44.825	 02/01/1991 00:00	 01/01/2009 00:00	 05/01/2000 00:00	6569	0.836355383	1.016091383	0.849163732	1.061392576	44.813750	21.379583	567948
37	612	6742200	SRB	44.7	22.42	576232	Danube	Danube	567474.2	22.425	44.725	 01/01/1982 00:00	 01/01/1991 00:00	 02/01/1983 00:00	3288	0.845014077	1.051521231	0.860590487	1.043945268	44.703750	22.417083	571933
38	615	6742800	ROU	44.6833	27.945	709100	Danube	Danube	688044	27.925	44.625	 01/01/1982 00:00	 01/01/2000 00:00	 25/12/1990 00:00	10593	0.823999051	1.038177656	0.83414853	1.044856332	44.638750	27.923750	694363
39	617	6547500	SRB	44.58	21.12	34345	Velika Morava	Danube	37456.9	21.125	44.575	 02/01/1992 00:00	 01/01/2011 00:00	 03/07/2001 00:00	6940	0.812249651	0.903086313	0.869169064	1.093494368	44.585417	21.120417	37148
40	626	6842200	ROU	44.16	22.82	584900	Danube	Danube	575195.3	22.825	44.125	 02/01/1992 00:00	 01/01/2000 00:00	 02/01/1992 00:00	2922	0.804671926	0.990560914	0.832382	1.099840703	44.153750	22.819583	581127
41	627	6842900	ROU	44.13	27.26	689700	Danube	Danube	680260.5	27.275	44.125	 02/01/1992 00:00	 01/01/2000 00:00	 02/01/1992 00:00	2922	0.803187402	1.024387531	0.824050982	1.084748982	44.124583	27.261250	686677
42	632	6842800	ROU	43.86	25.95	669900	Danube	Danube	659920.5	25.975	43.875	 02/01/1992 00:00	 01/01/2000 00:00	 02/01/1992 00:00	2922	0.824729065	1.020668567	0.840951368	1.070684112	43.858750	25.952083	665381
43	633	6842400	ROU	43.84	23.24	588860	Danube	Danube	580261.3	23.275	43.825	 02/01/1992 00:00	 01/01/2000 00:00	 02/01/1992 00:00	2922	0.814215859	1.000332138	0.835129031	1.085634107	43.838750	23.239583	584380
44	639	6742500	ROU	43.6272	25.3544	658400	Danube	Danube	641845	25.325	43.625	 01/01/1982 00:00	 01/01/2011 00:00	 02/07/1996 00:00	10585	0.868867588	1.023677157	0.876823975	1.038246157	43.626250	25.354583	647711
